aid,sid,title,path,url,uid,timer,timestamp
45359,tbYY9hAZerCt1io_9XmgDR2ochl1JqkS4S8zxQOpEiI,Vlag,flag/flag/stop_met_oefenen/7287,https://leen.wiski.be/node/7287/take/1,1921,71,1663765225
43851,xPsuvcOdvX41fg2Z_-Cdrjbd6JZa8SnmPzoais5Og60,Vlag,flag/flag/stop_met_oefenen/7353,http://leen.wiski.be/,2077,31,1651141414
43774,3AvQBaTGCGbjxxbYIUwUQ52U4PF7uO19xicYePv7stA,Vlag,flag/flag/stop_met_oefenen/7353,http://leen.wiski.be/node/7353/take/1,2093,79,1651141232
43679,oEur7ylyepRP2_P-86gK04ir_zOnR7yEspnaywVUYxQ,Vlag,flag/flag/stop_met_oefenen/7353,http://leen.wiski.be/node/7353/take/1,2078,63,1651140884
43642,nqt8Nl1YLbqLSIDOIY411RpqnGG_9jq2DtNIMyCGSWI,Vlag,flag/flag/stop_met_oefenen/7353,http://leen.wiski.be/node/7353/take/2,2075,89,1651140846
42434,DayuLh-F8PRmVAhvGm9iKyMcUmkg5d5a3zRQjiFM9mg,Vlag,flag/flag/stop_met_oefenen/7287,https://leen.wiski.be/node/7287/take/2,2060,59,1651135978
42423,DayuLh-F8PRmVAhvGm9iKyMcUmkg5d5a3zRQjiFM9mg,Vlag,flag/flag/stop_met_oefenen/7287,https://leen.wiski.be/node/7287/take/1,2060,73,1651135956
42144,K43ga8no-LgiKEspSNU0yK2NEG2YiMZ3KySqBMlbfBY,Vlag,flag/flag/stop_met_oefenen/7296,https://leen.wiski.be/node/7296/take/2,2058,54,1651135585
41945,ddHoXFR9e_b_36Ij1FjhKXuWlzBLkorx9fXDT2MrIk8,Vlag,flag/flag/stop_met_oefenen/7296,https://leen.wiski.be/node/7296/take/2,2054,58,1651135370
41683,7zxsQIZwNNkUHVPaWRlaw8TWagRuHQ-Xr-7SDCtxI_k,Vlag,flag/flag/stop_met_oefenen/7296,https://leen.wiski.be/node/7296/take/1,2073,77,1651135089
41618,gl1UUnOOFLz6tzBYQsA6zZ-2tFbWadct4RJhqFBxLu4,Vlag,flag/flag/stop_met_oefenen/7295,https://leen.wiski.be/node/7295/take/1,2064,84,1651135024
41287,0-qCBoSsZy_JKM9deICyenTPY7Mm-_X4WkY7mPanQNU,Vlag,flag/flag/stop_met_oefenen/7296,https://leen.wiski.be/node/7296/take/2,2063,67,1651134699
41183,K2mv1CU3WbjERSLHkRx3E2bf6sTSUzpi_x92C6TJ4GM,Vlag,flag/flag/stop_met_oefenen/7295,http://leen.wiski.be/node/7295/take/1,2067,598,1651134589
41164,K2mv1CU3WbjERSLHkRx3E2bf6sTSUzpi_x92C6TJ4GM,Vlag,flag/flag/stop_met_oefenen/7295,http://leen.wiski.be/node/7295/take/1,2067,63,1651134574
40978,Ma1nU0a2vyTpDKVKWYTbfE-4KTElLkElWpTVeIzG0h8,Vlag,flag/flag/stop_met_oefenen/7295,https://leen.wiski.be/node/7295/take/1,2061,75,1651134450
40628,GhT-MwEA7u5MPmXqcCpyvMo1ryLtUDnhFe2u2q2ZFNQ,Vlag,flag/flag/stop_met_oefenen/7295,https://leen.wiski.be/node/7295/take/1,2057,67,1651134305
40578,aJhppTRXUHHaAyhlNUHcdCI6biS00t9rFJMbMidQdQo,Vlag,flag/flag/stop_met_oefenen/7295,http://leen.wiski.be/node/7295/take/1,2065,78,1651134280
40455,GhT-MwEA7u5MPmXqcCpyvMo1ryLtUDnhFe2u2q2ZFNQ,Vlag,flag/flag/stop_met_oefenen/7295,https://leen.wiski.be/node/7295/take/1,2057,85,1651134213
40232,5McjDeFpU4m2TbwLo_emSkhztjTOb31cDOld00aoMaw,Vlag,flag/flag/stop_met_oefenen/7287,http://leen.wiski.be/node/7287/take/1,2044,58,1651132790
39868,pa5RNMsPoPJzaH3CTSO0-BoGiouyuFr_F4sGIPhfL6o,Vlag,flag/flag/stop_met_oefenen/7318,https://leen.wiski.be/node/7318/take/1,2040,27,1651132474
39839,pa5RNMsPoPJzaH3CTSO0-BoGiouyuFr_F4sGIPhfL6o,Vlag,flag/flag/stop_met_oefenen/7318,https://leen.wiski.be/node/7318/take/2,2040,63,1651132439
39841,pa5RNMsPoPJzaH3CTSO0-BoGiouyuFr_F4sGIPhfL6o,Vlag,flag/flag/stop_met_oefenen/7318,https://leen.wiski.be/node/7318/take/2,2040,40,1651132439
39826,pa5RNMsPoPJzaH3CTSO0-BoGiouyuFr_F4sGIPhfL6o,Vlag,flag/flag/stop_met_oefenen/7318,https://leen.wiski.be/node/7318/take/2,2040,53,1651132432
39593,Zr_Nq64ht7dvOpZZFJFYaLL9kvivijUi-ScMAaF8pac,Vlag,flag/flag/stop_met_oefenen/7293,https://leen.wiski.be/node/7293/take/1,2043,66,1651132249
39414,V8GLA9IHF4c39G7AsGKuMy3s3Um9wM-AlrZTVXei_2o,Vlag,flag/flag/stop_met_oefenen/7295,https://leen.wiski.be/node/7295/take/1,2045,66,1651132057
38831,VsevoM3ffZCz0AHMbUVAvLPL4PS5VCYo5oq2UXxq0jc,Vlag,flag/flag/stop_met_oefenen/7295,https://leen.wiski.be/node/7295/take/2,2050,60,1651131416
38825,pa5RNMsPoPJzaH3CTSO0-BoGiouyuFr_F4sGIPhfL6o,Vlag,flag/flag/stop_met_oefenen/7295,https://leen.wiski.be/node/7295/take/2,2040,65,1651131410
38600,M9XrdlsNXOYtZoAESq610p2SbMsnSNUUy8rrhxr3C-Q,Vlag,flag/flag/stop_met_oefenen/7295,http://leen.wiski.be/node/7295/take/1,2042,66,1651131246
38489,SrQb2yfNn7V0W0MKtneQU92wyw8le0TtEBJghRCT_eg,Vlag,flag/flag/stop_met_oefenen/7322,https://leen.wiski.be/node/7322/take/1,2047,70,1651131146
38354,M9XrdlsNXOYtZoAESq610p2SbMsnSNUUy8rrhxr3C-Q,Vlag,flag/flag/stop_met_oefenen/7295,http://leen.wiski.be/node/7295/take/1,2042,67,1651131030
38286,M9XrdlsNXOYtZoAESq610p2SbMsnSNUUy8rrhxr3C-Q,Vlag,flag/flag/stop_met_oefenen/7295,http://leen.wiski.be/node/7295/take/1,2042,73,1651130980
37828,Q7VfJRLZIckdTDwfqwnQr2Y4gJWhlwfyC5pq19Kjm4Q,Vlag,flag/flag/stop_met_oefenen/7366,https://leen.wiski.be/node/7366/take/1,2026,60,1650973755
37817,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,67,1650973743
37759,z-qSgylA9-UoL2wMTI-zPcVsRv0dvWg12Fo3WCP2h_o,Vlag,flag/flag/stop_met_oefenen/7355,http://leen.wiski.be/node/7355/take/2,2031,56,1650973691
37706,Q7VfJRLZIckdTDwfqwnQr2Y4gJWhlwfyC5pq19Kjm4Q,Vlag,flag/flag/stop_met_oefenen/7360,https://leen.wiski.be/node/7360/take/1,2026,56,1650973641
37604,Q7VfJRLZIckdTDwfqwnQr2Y4gJWhlwfyC5pq19Kjm4Q,Vlag,flag/flag/stop_met_oefenen/7374,https://leen.wiski.be/node/7374/take/1,2026,64,1650973561
37492,udGwCrA4yQsSi8n495yM8YHjLE_ce3BS5Qh7tRi21Mo,Vlag,flag/flag/stop_met_oefenen/7360,https://leen.wiski.be/node/7360/take/1,2018,60,1650973479
37457,udGwCrA4yQsSi8n495yM8YHjLE_ce3BS5Qh7tRi21Mo,Vlag,flag/flag/stop_met_oefenen/7360,https://leen.wiski.be/node/7360/take/1,2018,61,1650973462
37121,udGwCrA4yQsSi8n495yM8YHjLE_ce3BS5Qh7tRi21Mo,Vlag,flag/flag/stop_met_oefenen/7366,https://leen.wiski.be/node/7366/take/1,2018,62,1650973213
37034,udGwCrA4yQsSi8n495yM8YHjLE_ce3BS5Qh7tRi21Mo,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2018,60,1650973164
37005,udGwCrA4yQsSi8n495yM8YHjLE_ce3BS5Qh7tRi21Mo,Vlag,flag/flag/stop_met_oefenen/7374,https://leen.wiski.be/node/7374/take/2,2018,70,1650973144
36902,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,62,1650973076
36854,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,72,1650973054
36799,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,62,1650972938
36539,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,60,1650972652
36526,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,60,1650972635
36456,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,59,1650972548
36399,oErpR6bh5X8Lx1fVGTPwoquo_QwHg8_O_HgCKBI5m9k,Vlag,flag/flag/stop_met_oefenen/7365,https://leen.wiski.be/node/7365/take/1,2032,60,1650972516
36395,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7374,https://leen.wiski.be/node/7374/take/2,2030,56,1650972513
