"txn_id","uid","approver_uid","points","time_stamp","changed","status","description","reference","expirydate","expired","parent_txn_id","tid","entity_id","entity_type","operation"
"1","1750","0","100","1634651324","1634651324","0","Startpakket punten",NULL,"0","0","0","0","0",NULL,"Toevoegen"
"2","1750","0","-5","1634651405","1634651405","0","Oefening fout opgelost",NULL,"0","0","0","0","2","quiz_result","Aftrekken"
"3","1750","0","5","1634651409","1634651409","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","2","quiz_result","Toevoegen"
"4","1","0","-5","1635936430","1635936430","0","Oefening fout opgelost",NULL,"0","0","0","0","4","quiz_result","Aftrekken"
"5","1","0","5","1635936437","1635936437","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","4","quiz_result","Toevoegen"
"6","1","0","5","1639743181","1639743181","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","8","quiz_result","Toevoegen"
"7","1","0","5","1639743542","1639743542","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","9","quiz_result","Toevoegen"
"8","1","0","-5","1639743554","1639743554","0","Oefening fout opgelost",NULL,"0","0","0","0","9","quiz_result","Aftrekken"
"9","1","0","-5","1639746621","1639746621","0","Oefening fout opgelost",NULL,"0","0","0","0","10","quiz_result","Aftrekken"
"10","1","0","5","1639747339","1639747339","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","11","quiz_result","Toevoegen"
"11","1","0","5","1639747377","1639747377","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","11","quiz_result","Toevoegen"
"28","1","0","-5","1639994722","1639994722","0","Oefening fout opgelost",NULL,"0","0","0","0","18","quiz_result","Aftrekken"
"37","1","0","5","1644937464","1644937464","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","28","quiz_result","Toevoegen"
"38","1","0","5","1644937478","1644937478","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","28","quiz_result","Toevoegen"
"39","1","0","5","1644937483","1644937483","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","28","quiz_result","Toevoegen"
"40","1","0","5","1644937621","1644937621","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","38","quiz_result","Toevoegen"
"41","1","0","-5","1644937635","1644937635","0","Oefening fout opgelost",NULL,"0","0","0","0","38","quiz_result","Aftrekken"
"42","1","0","-5","1644938074","1644938074","0","Oefening fout opgelost",NULL,"0","0","0","0","38","quiz_result","Aftrekken"
"43","1","0","-5","1644938109","1644938109","0","Oefening fout opgelost",NULL,"0","0","0","0","38","quiz_result","Aftrekken"
"44","1","0","5","1644938174","1644938174","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","38","quiz_result","Toevoegen"
"45","1","0","5","1644938707","1644938707","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","39","quiz_result","Toevoegen"
"46","1","0","-5","1644938716","1644938716","0","Oefening fout opgelost",NULL,"0","0","0","0","39","quiz_result","Aftrekken"
"47","1","0","5","1644938730","1644938730","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","39","quiz_result","Toevoegen"
"48","1","0","-5","1644938967","1644938967","0","Oefening fout opgelost",NULL,"0","0","0","0","41","quiz_result","Aftrekken"
"49","1","0","-5","1644938968","1644938968","0","Oefening fout opgelost",NULL,"0","0","0","0","41","quiz_result","Aftrekken"
"50","1","0","5","1644938971","1644938971","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","41","quiz_result","Toevoegen"
"56","1","0","5","1644939339","1644939339","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","49","quiz_result","Toevoegen"
"57","1","0","-5","1644939521","1644939521","0","Oefening fout opgelost",NULL,"0","0","0","0","50","quiz_result","Aftrekken"
"58","1","0","5","1644939560","1644939560","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","50","quiz_result","Toevoegen"
"59","1","0","5","1644939603","1644939603","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","51","quiz_result","Toevoegen"
"68","1","0","-5","1645020277","1645020277","0","Oefening fout opgelost",NULL,"0","0","0","0","61","quiz_result","Aftrekken"
"69","1","0","-5","1645020281","1645020281","0","Oefening fout opgelost",NULL,"0","0","0","0","61","quiz_result","Aftrekken"
"70","1","0","5","1645020283","1645020283","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","61","quiz_result","Toevoegen"
"71","1","0","-5","1645020295","1645020295","0","Oefening fout opgelost",NULL,"0","0","0","0","61","quiz_result","Aftrekken"
"72","1","0","5","1645020300","1645020300","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","61","quiz_result","Toevoegen"
"73","1","0","-5","1645020305","1645020305","0","Oefening fout opgelost",NULL,"0","0","0","0","61","quiz_result","Aftrekken"
"74","1","0","5","1645020308","1645020308","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","61","quiz_result","Toevoegen"
"101","1","0","5","1645106370","1645106370","0","Oefening juist opgelost zonder hulp",NULL,"0","0","0","0","75","quiz_result","Toevoegen"
"332","1","0","26","1646060158","1646060158","0",NULL,NULL,"0","0","0","0","0",NULL,NULL
